Investiga;Id;Moneda;Precio;Unidades vendidas;Venta Diaria Promedio;IdSeller;Nickname;Stock;Exposicion;T. Oficial;Condición;Cuotas;Envío Gratis;Días publicados;Reputación;Ubicación;Envío Flex;Envío Full
Robots - Maldón;MLA907903906;ARS;3299;0;0;208811357;GIRODIDACTICO LAPLATA;2;Clásica; ;Nuevo;12;No;420;5;Interior;No;No
El Tiburón - Maldón;MLA916315620;ARS;2599;0;0;208811357;GIRODIDACTICO LAPLATA;2;Clásica; ;Nuevo;12;No;356;5;Interior;No;No
Lucky Numbers - Maldón;MLA1115187476;ARS;3590;0;0;208811357;GIRODIDACTICO LAPLATA;3;Clásica; ;Nuevo;12;No;119;5;Interior;No;No
Illusion - Maldón;MLA855951323;ARS;3299;0;0;208811357;GIRODIDACTICO LAPLATA;1;Clásica; ;Nuevo;12;No;690;5;Interior;No;No
El Macanudo - Maldón;MLA855951328;ARS;5390;0;0;208811357;GIRODIDACTICO LAPLATA;3;Clásica; ;Nuevo;12;Si;690;5;Interior;No;No
Quarto - Juego De Mesa En Español - Maldón;MLA864831249;ARS;9950;1;10;362437939;LOSJUEGOSDEULTHAR;1;Clásica; ;Nuevo;12;Si;648;Líder;Capital Federal;Si;No
El Futbolero Juego De Mesa Original Maldon;MLA640156190;ARS;4899;5;40;141258544;APIOVERDE OFICIAL;4;Clásica;Apioverde;Nuevo;12;Si;1989;Platinum;Capital Federal;Si;No
El Erudito - Juego De Mesa;MLA755496693;ARS;5360;5;100;362437939;LOSJUEGOSDEULTHAR;1;Clásica; ;Nuevo;12;Si;1256;Líder;Capital Federal;Si;No
Juego De Mesa Aventureros Al Tren Maldón;MLA1125946974;ARS;13500;0;0;203197985;SANTACLAUS JUGUETERIAS;2;Clásica;Jugueterias Santa Claus;Nuevo;12;Si;33;Platinum;GBA;Si;No
Juego De Mesa Derby Maldon De Casa Valente;MLA1122691127;ARS;3999;0;0;171098887;CASA VALENTE;1;Premium; ;Nuevo;6;No;57;Platinum;Capital Federal;Si;No
Just One - Juego De Mesa Maldón;MLA1128767142;ARS;6330;0;0;362437939;LOSJUEGOSDEULTHAR;1;Clásica; ;Nuevo;12;Si;15;Líder;Capital Federal;Si;No
Melómano De Maldon Un Juego Para Los Amantes De La Música ;MLA785913434;ARS;4674;5;110;213735207;RODABONITO.COM.AR;6;Clásica; ;Nuevo;12;Si;1061;Platinum;Capital Federal;Si;No
El Futbolero - Juego De Mesa;MLA756048752;ARS;4730;2;0;362437939;LOSJUEGOSDEULTHAR;1;Clásica; ;Nuevo;12;Si;1253;Líder;Capital Federal;Si;No
El Cinéfilo - Juego De Mesa;MLA755496454;ARS;4730;2;0;362437939;LOSJUEGOSDEULTHAR;1;Clásica; ;Nuevo;12;Si;1256;Líder;Capital Federal;Si;No
El Benjamín - Juego De Mesa;MLA755497582;ARS;2640;2;0;362437939;LOSJUEGOSDEULTHAR;1;Clásica; ;Nuevo;12;No;1256;Líder;Capital Federal;Si;No
Kontour - Juego De Mesa Maldón;MLA1128738146;ARS;3550;0;0;362437939;LOSJUEGOSDEULTHAR;1;Clásica; ;Nuevo;12;No;15;Líder;Capital Federal;Si;No
Juego De Mesa El Ilustrado Maldón Cultura General;MLA1100682727;ARS;5360;0;0;42977173;RAIMUNDOJUGUETES;3;Clásica; ;Nuevo;12;Si;218;Platinum;GBA;Si;No
Qwixx Juego Dados Nuevo Maldon Original En La Plata.;MLA808865324;ARS;4000;3;10;50328046;ANTONIOHOBBY;1;Clásica; ;Nuevo;12;Si;966;Platinum;Interior;No;No
El Melómano + El Ilustrado Juego Mesa Maldón Cultura Música;MLA786228578;ARS;10095;4;30;178146766;ADVENTURAMA;4;Clásica; ;Nuevo;12;Si;1059;Platinum;GBA;Si;No
Illusion Maldon Juego De Mesa Cartas Abracadabra Juguetes;MLA874895106;ARS;3330;0;0;77637213;ABRACADABRA JUGUETES;2;Clásica; ;Nuevo;12;No;590;5;Capital Federal;Si;No
El Erudito Maldon Juego De Mesa Abracadabra Juguetes;MLA874895107;ARS;5360;4;30;77637213;ABRACADABRA JUGUETES;4;Clásica; ;Nuevo;12;Si;590;5;Capital Federal;Si;No
El Erudito Juego De Mesa Preguntas Y Respuestas E Ingenio;MLA618032458;ARS;6990;50;160;92063843;DELFIN JUGUETES;12;Clásica; ;Nuevo;12;Si;2171;Gold;Capital Federal;Si;No
El Camarero Juego De Mesa Maldón Memoria Nuevo;MLA733279864;ARS;3990;3;0;92063843;DELFIN JUGUETES;6;Clásica; ;Nuevo;12;No;1383;Gold;Capital Federal;Si;No
Combo Juegos Pixar Encuentralo Dob Les + El Camarero Maldón;MLA931284443;ARS;6990;0;0;92063843;DELFIN JUGUETES;6;Clásica; ;Nuevo;12;Si;252;Gold;Capital Federal;Si;No
Juego De Mesa El Tiburón Para Los Mas Chicos Maldón Animales;MLA920543792;ARS;2565;0;0;493773516;GOODLIFESTORE SRL;1;Premium; ;Nuevo;6;No;328;Gold;Capital Federal;Si;No
El Erudito Juego De Mesa Familiar Ingenio Maldón Ilustrado;MLA920555312;ARS;6540;1;10;493773516;GOODLIFESTORE SRL;1;Premium; ;Nuevo;6;Si;328;Gold;Capital Federal;Si;No
El Cinefilo Juego De Mesa Para Los Amantes Del Cine Maldon;MLA608575529;ARS;6390;5;20;92063843;DELFIN JUGUETES;20;Clásica; ;Nuevo;12;Si;2228;Gold;Capital Federal;Si;No
La Macarena Maldon Juego De Mesa Abracadabra Juguetes;MLA874894575;ARS;3330;0;0;77637213;ABRACADABRA JUGUETES;3;Clásica; ;Nuevo;12;No;590;5;Capital Federal;Si;No
Pescadores Nuevo Juego De Mesa De Asociación Maldón;MLA875522501;ARS;3990;0;0;92063843;DELFIN JUGUETES;6;Clásica; ;Nuevo;12;No;586;Gold;Capital Federal;Si;No
Juego De Mesa El Futbolero Destreza Estrategia Maldon;MLA1109146032;ARS;4730;0;0;493773516;GOODLIFESTORE SRL;1;Clásica; ;Nuevo;12;Si;167;Gold;Capital Federal;Si;No
Juego De Mesa Yogi Maldon Cartas;MLA1100692041;ARS;3550;0;0;42977173;RAIMUNDOJUGUETES;1;Clásica; ;Nuevo;12;No;218;Platinum;GBA;Si;No
Atenea Juego De Mesa Cultura General Familiar Tablero Maldon;MLA920592311;ARS;5770;1;10;493773516;GOODLIFESTORE SRL;1;Premium; ;Nuevo;6;Si;328;Gold;Capital Federal;Si;No
El Memorioso Juego De Mesa Cartas Familiar 15 Años + Maldon ;MLA920403395;ARS;4730;0;0;493773516;GOODLIFESTORE SRL;1;Clásica; ;Nuevo;12;Si;329;Gold;Capital Federal;Si;No
El Memorioso Juego De Mesa Maldón ;MLA608575504;ARS;6390;2;0;92063843;DELFIN JUGUETES;2;Clásica; ;Nuevo;12;Si;2228;Gold;Capital Federal;Si;No
Juego De Mesa El Futbolero Destreza Estrategia Maldon;MLA1109177219;ARS;5770;0;0;493773516;GOODLIFESTORE SRL;1;Premium; ;Nuevo;6;Si;167;Gold;Capital Federal;Si;No
Juego De Mesa El Tiburón Para Los Mas Chicos Maldón Animales;MLA920544585;ARS;3220;0;0;493773516;GOODLIFESTORE SRL;1;Clásica; ;Nuevo;12;No;328;Gold;Capital Federal;Si;No
Juego De Mesa Va Y Viene De Maldón Dados Party Game;MLA1111493452;ARS;3330;0;0;493773516;GOODLIFESTORE SRL;1;Clásica; ;Nuevo;12;No;149;Gold;Capital Federal;Si;No
El Futbolero Juego De Mesa Preguntas De Fútbol Maldon;MLA617203332;ARS;5290;5;50;92063843;DELFIN JUGUETES;2;Clásica; ;Nuevo;12;Si;2178;Gold;Capital Federal;Si;No
Juego De Mesa Kontour Dibujo Ingenio Familiar Tarjetas;MLA1110095687;ARS;4296;0;0;493773516;GOODLIFESTORE SRL;1;Premium; ;Nuevo;6;Si;160;Gold;Capital Federal;Si;No
